,Credit_amount,Employment,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
0,1169.0,>=7,67.0,own,2,skilled,yes,yes,1
1,5951.0,1<=X<4,22.0,own,1,skilled,none,yes,0
2,2096.0,4<=X<7,49.0,own,1,unskilled resident,none,yes,1
3,7882.0,4<=X<7,45.0,for free,1,skilled,none,yes,1
4,4870.0,1<=X<4,53.0,for free,2,skilled,none,yes,0
5,9055.0,1<=X<4,35.0,for free,1,unskilled resident,yes,yes,1
6,2835.0,>=7,53.0,own,1,skilled,none,yes,1
7,6948.0,1<=X<4,35.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
8,3059.0,4<=X<7,61.0,own,1,unskilled resident,none,yes,1
9,5234.0,unemployed,28.0,own,2,high qualif/self emp/mgmt,none,yes,0
10,1295.0,<1,25.0,rent,1,skilled,none,yes,0
11,4308.0,<1,24.0,rent,1,skilled,none,yes,0
12,1567.0,1<=X<4,22.0,own,1,skilled,yes,yes,1
13,1199.0,>=7,60.0,own,2,unskilled resident,none,yes,0
14,1403.0,1<=X<4,28.0,rent,1,skilled,none,yes,1
15,1282.0,1<=X<4,32.0,own,1,unskilled resident,none,yes,0
16,2424.0,>=7,53.0,own,2,skilled,none,yes,1
17,8072.0,<1,25.0,own,3,skilled,none,yes,1
18,12579.0,>=7,44.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
19,3430.0,>=7,31.0,own,1,skilled,yes,yes,1
20,2134.0,1<=X<4,48.0,own,3,skilled,yes,yes,1
21,2647.0,1<=X<4,44.0,rent,1,skilled,none,yes,1
22,2241.0,<1,48.0,rent,2,unskilled resident,none,no,1
23,1804.0,<1,44.0,own,1,skilled,none,yes,1
24,2069.0,1<=X<4,26.0,own,2,skilled,none,no,1
25,1374.0,1<=X<4,36.0,own,1,unskilled resident,yes,yes,1
26,426.0,>=7,39.0,own,1,unskilled resident,none,yes,1
27,409.0,1<=X<4,42.0,rent,2,skilled,none,yes,1
28,2415.0,1<=X<4,34.0,own,1,skilled,none,yes,1
29,6836.0,>=7,63.0,own,2,skilled,yes,yes,0
30,1913.0,<1,36.0,own,1,skilled,yes,yes,1
31,4020.0,1<=X<4,27.0,own,1,skilled,none,yes,1
32,5866.0,1<=X<4,30.0,own,2,skilled,yes,yes,1
33,1264.0,>=7,57.0,rent,1,unskilled resident,none,yes,1
34,1474.0,<1,33.0,own,1,high qualif/self emp/mgmt,yes,yes,1
35,4746.0,<1,25.0,own,2,unskilled resident,none,yes,0
36,6110.0,1<=X<4,31.0,for free,1,skilled,yes,yes,1
37,2100.0,1<=X<4,37.0,own,1,skilled,none,yes,0
38,1225.0,1<=X<4,37.0,own,1,skilled,yes,yes,1
39,458.0,1<=X<4,24.0,own,1,skilled,none,yes,1
40,2333.0,>=7,30.0,own,1,high qualif/self emp/mgmt,none,yes,1
41,1158.0,1<=X<4,26.0,own,1,skilled,yes,yes,1
42,6204.0,1<=X<4,44.0,own,1,unskilled resident,yes,yes,1
43,6187.0,4<=X<7,24.0,rent,2,skilled,none,yes,1
44,6143.0,>=7,58.0,for free,2,unskilled resident,none,yes,0
45,1393.0,<1,35.0,own,2,high qualif/self emp/mgmt,none,yes,1
46,2299.0,>=7,39.0,own,1,skilled,none,yes,1
47,1352.0,unemployed,23.0,rent,1,unemp/unskilled non res,yes,yes,1
48,7228.0,1<=X<4,39.0,own,2,unskilled resident,none,yes,1
49,2073.0,1<=X<4,28.0,own,1,skilled,none,yes,1
50,2333.0,<1,29.0,own,1,unskilled resident,none,yes,1
51,5965.0,>=7,30.0,own,2,high qualif/self emp/mgmt,yes,yes,1
52,1262.0,1<=X<4,25.0,own,1,skilled,none,yes,1
53,3378.0,1<=X<4,31.0,own,1,skilled,yes,yes,1
54,2225.0,>=7,57.0,for free,2,skilled,yes,yes,0
55,783.0,1<=X<4,26.0,own,1,unskilled resident,none,yes,1
56,6468.0,unemployed,52.0,own,1,high qualif/self emp/mgmt,yes,yes,0
57,9566.0,1<=X<4,31.0,own,2,skilled,none,yes,1
58,1961.0,>=7,23.0,own,1,high qualif/self emp/mgmt,none,yes,1
